qsort-exam: killer median 337.1 us, max 356.1 us
w0 E2E-CHB          0.0001: 0.483x  1e-05: 0.494x  1e-06: 0.500x [2 s]
w0 E2E-MEMIK        0.0001: 0.513x  1e-05: 0.535x  1e-06: 0.558x [1 s]
w0 E2E-CANTELLI     0.0001: 1.099x  1e-05: 2.545x  1e-06: 7.115x [0 s]
w0 E2E-EVT-PoT      0.0001: 0.465x  1e-05: 0.483x  1e-06: 0.483x [6 s]
w0 E2E-EVT-BM       0.0001: nanx  1e-05: nanx  1e-06: nanx [0 s]
w0 CHB-COMONO       0.0001: 2.381x  1e-05: 2.432x  1e-06: 2.466x [5 s]
w0 CHB-IND          0.0001: 2.374x  1e-05: 2.422x  1e-06: 2.458x [6 s]
w0 CHB-COP          0.0001: 2.370x  1e-05: 2.420x  1e-06: 2.452x [47 s]
w0 MEMIK-COP        0.0001: 2.380x  1e-05: 2.433x  1e-06: 2.486x [46 s]
w0 EVT-COP          0.0001: 2.359x  1e-05: 2.360x  1e-06: 2.361x [67 s]
w0 CHB-COMONO@inst  0.0001: 70.721x  1e-05: 128.853x  1e-06: 201.159x [442 s]
w0 CHB-IND@inst     0.0001: 68.911x  1e-05: 82.772x  1e-06: 128.391x [508 s]
w0 CHB-COP@inst     0.0001: 69.411x  1e-05: 93.591x  1e-06: 149.067x [1251 s]
