runmax       select w2 E2E-MEMIK  p=0.0001: 2.352  p=1e-05: 2.168  p=1e-06: 1.776  [2 s]
runmax       select w2 E2E-CHB    p=0.0001: 1.038  p=1e-05: 0.974  p=1e-06: 0.845  [9 s]
runmax       select w2 MEMIK-COP  p=0.0001: 3.823  p=1e-05: 3.523  p=1e-06: 2.886  [16 s]
runmax       select w2 CHB-COP    p=0.0001: 1.038  p=1e-05: 0.974  p=1e-06: 0.846  [32 s]
hybrid 1e-6  select w2 E2E-MEMIK  p=0.0001: 1.069  p=1e-05: 1.018  p=1e-06: 0.850  [1 s]
hybrid 1e-6  select w2 E2E-CHB    p=0.0001: 1.038  p=1e-05: 0.971  p=1e-06: 0.845  [8 s]
hybrid 1e-6  select w2 MEMIK-COP  p=0.0001: 1.070  p=1e-05: 1.015  p=1e-06: 0.848  [17 s]
hybrid 1e-6  select w2 CHB-COP    p=0.0001: 1.038  p=1e-05: 0.972  p=1e-06: 0.846  [34 s]
hybrid 1e-4  select w2 E2E-MEMIK  p=0.0001: 1.069  p=1e-05: 1.018  p=1e-06: 0.850  [2 s]
hybrid 1e-4  select w2 E2E-CHB    p=0.0001: 1.038  p=1e-05: 0.974  p=1e-06: 0.845  [9 s]
hybrid 1e-4  select w2 MEMIK-COP  p=0.0001: 1.070  p=1e-05: 1.015  p=1e-06: 0.848  [18 s]
hybrid 1e-4  select w2 CHB-COP    p=0.0001: 1.038  p=1e-05: 0.974  p=1e-06: 0.846  [31 s]
