50/720
100/720
150/720
200/720
250/720
300/720
350/720
400/720
450/720
500/720
550/720
600/720
650/720
700/720
Median tightness (estimate / true quantile) over 20 replications of n = 1e4; in brackets the number of replications below 1 (unsafe).


lognormal(s=1)

| config | p=0.001 | p=0.0001 | p=1e-05 | p=1e-06 |
|---|---|---|---|---|
| memik | 11.765 [0] | 6.274 [0] | 3.667 [1] | 2.250 [3] |
| atan | 1.559 [0] | 1.390 [2] | 0.981 [10] | 0.828 [14] |
| tanh | 2.230 [0] | 1.755 [1] | 1.268 [4] | 0.905 [13] |
| softsign | 1.453 [0] | 1.042 [10] | 0.613 [19] | 0.382 [19] |
| hill2 | 1.872 [0] | 1.870 [1] | 1.869 [1] | 1.293 [8] |
| expsat | 2.198 [0] | 1.740 [1] | 1.256 [5] | 0.879 [13] |

lognormal(s=1.5)

| config | p=0.001 | p=0.0001 | p=1e-05 | p=1e-06 |
|---|---|---|---|---|
| memik | 38.619 [0] | 29.863 [0] | 13.168 [0] | 6.374 [3] |
| atan | 1.787 [0] | 1.568 [2] | 1.151 [10] | 0.884 [12] |
| tanh | 2.777 [0] | 2.844 [0] | 2.046 [2] | 0.983 [10] |
| softsign | 1.619 [0] | 1.118 [7] | 0.500 [17] | 0.244 [20] |
| hill2 | 2.513 [0] | 2.053 [0] | 2.025 [3] | 1.028 [9] |
| expsat | 2.779 [0] | 2.354 [0] | 2.042 [3] | 0.981 [10] |

pareto(a=2)

| config | p=0.001 | p=0.0001 | p=1e-05 | p=1e-06 |
|---|---|---|---|---|
| memik | 21.858 [0] | 8.440 [0] | 5.772 [4] | 3.946 [9] |
| atan | 1.994 [0] | 1.535 [4] | 0.840 [12] | 0.396 [15] |
| tanh | 1.859 [0] | 3.398 [0] | 1.605 [6] | 0.835 [11] |
| softsign | 1.697 [0] | 1.243 [9] | 0.399 [18] | 0.128 [20] |
| hill2 | 2.660 [0] | 2.020 [1] | 1.348 [6] | 0.496 [17] |
| expsat | 2.503 [0] | 3.249 [0] | 1.470 [7] | 0.721 [13] |

pareto(a=3)

| config | p=0.001 | p=0.0001 | p=1e-05 | p=1e-06 |
|---|---|---|---|---|
| memik | 29.945 [0] | 13.899 [1] | 6.451 [3] | 2.999 [5] |
| atan | 1.881 [0] | 1.137 [7] | 0.625 [14] | 0.620 [16] |
| tanh | 2.516 [0] | 2.290 [1] | 1.416 [8] | 0.788 [14] |
| softsign | 1.687 [0] | 1.137 [7] | 0.536 [17] | 0.253 [20] |
| hill2 | 2.066 [0] | 1.785 [0] | 1.418 [4] | 0.777 [11] |
| expsat | 2.940 [0] | 2.378 [1] | 1.357 [7] | 0.726 [15] |

weibull(k=0.5)

| config | p=0.001 | p=0.0001 | p=1e-05 | p=1e-06 |
|---|---|---|---|---|
| memik | 12.525 [0] | 7.045 [0] | 4.509 [0] | 3.131 [0] |
| atan | 1.449 [0] | 1.301 [5] | 1.059 [9] | 0.945 [13] |
| tanh | 1.908 [0] | 1.587 [1] | 1.336 [3] | 1.031 [7] |
| softsign | 1.374 [0] | 1.024 [8] | 0.666 [20] | 0.469 [20] |
| hill2 | 2.462 [0] | 2.751 [1] | 1.787 [1] | 1.448 [4] |
| expsat | 1.926 [0] | 1.604 [1] | 1.378 [3] | 1.135 [5] |

normal+rare mode

| config | p=0.001 | p=0.0001 | p=1e-05 | p=1e-06 |
|---|---|---|---|---|
| memik | 1.205 [0] | 1.049 [1] | 1.061 [0] | 1.066 [0] |
| atan | 1.153 [0] | 1.004 [9] | 0.984 [15] | 1.053 [2] |
| tanh | 1.189 [0] | 1.044 [1] | 1.050 [0] | 1.054 [0] |
| softsign | 1.152 [0] | 1.004 [9] | 0.982 [17] | 0.971 [19] |
| hill2 | 1.188 [0] | 1.041 [1] | 1.051 [0] | 1.056 [0] |
| expsat | 1.188 [0] | 1.039 [1] | 1.049 [0] | 1.053 [0] |

